hour,breach_count,curtailment_count,breach_locations,der_list,total_curtailed_kwh
2023-01-12 18:00:00+00:00,4,0,"PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL, PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL",,0.0
2023-01-12 19:00:00+00:00,9,0,"PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL, PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL",,0.0
2023-01-12 20:00:00+00:00,11,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-12 21:00:00+00:00,9,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
2023-01-12 22:00:00+00:00,2,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-12 23:00:00+00:00,8,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-13 00:00:00+00:00,6,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-13 01:00:00+00:00,7,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-13 02:00:00+00:00,13,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-13 03:00:00+00:00,9,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-13 04:00:00+00:00,7,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-13 05:00:00+00:00,11,0,PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL,,0.0
2023-01-13 06:00:00+00:00,15,0,"PETERBOROUGH CENTRAL 132/33KV  - FARCET 1 33KV OHL, PETERBOROUGH CENTRAL 132/33KV - FARCET PRIMARY TO BURY PRIMARY 33KV OHL",,0.0
