constraint_description,constraint_type,main_location,secondary_location,matched_site,latitude,longitude,latitude_2,longitude_2,geolocation_source,geolocation_method,constraint_id
Sall Grid 132/33kV - Sum Constraint,aggregate,SALL GRID GRID,,SMALLFIELD GRID,51.1772206726174,-0.132275290346761,,,grid_sites,substation_direct,0D5023_SS_CONSTR-SUM
Wickham Market 33kV - BENHALL tee GREAT GLEMHAM SOLAR FARM,solar_farm,WICKHAM MARKET 33KV - BENHALL TEE GREAT GLEMHAM SOLAR FARM,,KS SPV 7 LIMITED LENHAM SOLAR FARM,51.2280332986897,0.712981082479922,,,ecr,solar_farm_direct,0D5073_911-CCT_CONSTR-CCT
Wickham Market Grid  132/33kV - GT1,transformer,WICKHAM MARKET GRID GRID,,WICKHAM MARKET GRID 132/33KV,52.1874930946002,1.36753668530461,,,grid_sites,substation_direct,0D5073_916-GT1_CONSTR-CCT
Trowse Grid 132/33kV -  Sum,aggregate,TROWSE GRID GRID,,TROWSE GRID 132KV,52.6077623298605,1.30807625655577,,,grid_sites,substation_direct,0D5084_SS_CONSTR-SUM
Hempton Grid 132/33kV - Sum,aggregate,HEMPTON GRID GRID,,HEMPTON GRID 132KV,52.8291460633502,0.82576640727261,,,grid_sites,substation_direct,0D6045_SS_CONSTR-SUM
PETERBOROUGH CENTRAL 132/33kV - GT2B,transformer,PETERBOROUGH CENTRAL,,PETERBOROUGH CENTRAL 132KV,52.5673640902072,-0.242939394236269,,,grid_sites,substation_direct,0D6060_930-GT2B_CONSTR-CCT
MARCH GRID 132/33kV - GT1,transformer,MARCH GRID GRID,,MARCH GRID 132/33KV,52.5482388436914,0.0748765202284335,,,grid_sites,substation_direct,0D6065_914-GT1_CONSTR-CCT
Ilmer Grid 132/33kV - GT1,transformer,ILMER GRID GRID,,ILMER GRID 132/33KV,51.7517773136147,-0.88227449772753,,,grid_sites,substation_direct,0D8077_006-GT1_CONSTR-CCT
Ilmer Grid 132/33kV - Sum,aggregate,ILMER GRID GRID,,ILMER GRID 132/33KV,51.7517773136147,-0.88227449772753,,,grid_sites,substation_direct,0D8077_SS_CONSTR-SUM
Worstead Primary 33kV - North Walsham,substation,WORSTEAD PRIMARY,,WORSTEAD PRIMARY 33KV,52.7728837833263,1.40090902751925,,,grid_sites,substation_direct,0G5058_912-CCT_CONSTR-CCT
Thornal Solar Farm - Hunstanton - Thornal ABSD,solar_farm,THORNAL SOLAR FARM,,VANTAGE RE HORAM SOLAR FARM,50.9313380406258,0.237686230556436,,,ecr,solar_farm_direct,0G6171_911-CCT_CONSTR-CCT
